Lateness,Assembly,Material,OpenOrders,NewOrders,TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
-1393,22.948214,226720210,15,3,6,10.54,357,35,7,3826
-1465.2858,33.055325,278761540,16,0,5.4,11.05,192,20,4,2068
-1517,38.10625,306954500,12,0,5.35,10.88,296,30,6,4109
-1448.2354,42.73141,416086500,12,0,5.36,12.07,297,30,6,3599
-1431.8889,49.299152,396041020,12,1,4.26,8.88,264,25,5,3775
-1554.2727,50.90278,426129120,9,1,3.95,10.01,203,20,4,2784
-1568.0435,51.6056,415395780,10,2,3.02,7.23,156,15,3,2062
-1590.24,50.755146,480459500,12,4,3.52,7.96,212,20,4,2414
-1590.24,52.362038,548374900,15,3,5.77,10.97,197,20,4,2504
-1602.4073,61.83487,544732400,14,1,5.77,11.47,148,15,3,1843
-1665.0358,63.58375,556432260,15,2,4.85,11.29,216,20,4,2354
-1685.5333,65.45238,578653700,17,4,4.7,8.71,156,15,3,1845
-1715.2222,73.81685,659720060,14,0,5.78,10.43,197,20,4,2083
-1700.8158,76.269554,652191100,14,2,3.72,9.98,157,15,3,1640
-1748.881,77.119415,647619100,11,1,3.28,8.09,216,20,4,2242
-1713.0652,77.24687,665598460,10,3,4.25,8.67,150,15,3,1943
-1690.625,80.010414,660792450,11,3,4.58,11.01,148,15,3,2209
-1666.75,84.440445,671924500,9,0,3.43,8.56,260,25,5,2882
-1673.8889,83.598816,678971460,8,1,2.13,5.34,152,15,3,1807
-1640.4562,81.881454,657069100,6,1,0.51,1.86,143,15,3,2030
-1641.3898,83.20701,716109760,7,0,5.01,10,357,35,7,5074
-1655.4098,86.359825,715742200,8,0,2.88,8.77,146,15,3,1995
-1669.1428,87.922455,725326900,8,2,2.5,5.62,152,15,3,1898
-1669.1428,87.521736,765375500,10,2,2.67,6.71,153,15,3,2032
-1667.8462,92.13317,754974700,9,1,3.85,7.29,194,20,4,2111
-1663.8636,92.7227,780450750,10,2,3.34,6.62,149,15,3,1709
-1662.9559,94.401566,810299400,10,2,4.19,8.8,354,35,7,4153
-1662.1014,99.99217,827640640,12,3,4.05,9.59,350,35,7,4868
-1695.5571,102.38378,906438400,14,3,4.49,10.06,158,15,3,2320
-1688.137,108.58823,934814340,12,1,6.16,11.02,152,15,3,1540
-1668.56,115.98792,945057200,12,2,4.86,11.56,255,25,5,2952
-1694.4286,119.53593,967753600,13,3,4.82,12.04,150,15,3,1941
-1714.0641,122.48755,966578240,13,1,5.01,9.9,152,15,3,2061
-1698.2346,121.69861,945853630,11,0,1.93,3.75,154,15,3,1707
-1683.1927,122.19932,1.0059093E+09,11,2,2.32,5.94,290,30,6,3074
-1707.6552,124.78496,996781100,8,1,3.65,8.71,159,15,3,1737
-1718.9333,124.31797,1.0368385E+09,7,2,3.05,6.85,193,20,4,2042
-1735,129.83986,1.0763064E+09,6,1,3.98,8.69,269,25,5,2926
-1735,130.93974,1.0876952E+09,10,4,3.41,7.59,245,25,5,2755
-1735,134.71852,1.1220612E+09,12,2,5,11.01,146,15,3,2187
-1739.5851,136.06094,1.1159433E+09,12,2,4.58,9.99,151,15,3,1907
-1743.3854,135.00562,1.1144787E+09,12,2,2.92,9.19,347,35,7,4276
-1730.8485,142.10959,1.1542825E+09,12,0,4.96,10.3,139,15,3,1482
-1734.3773,145.92386,1.1734957E+09,6,0,2.41,4.31,298,30,6,3962
-1727.514,144.5307,1.1741187E+09,8,3,0.58,1.95,301,30,6,3633
-1716.4128,149.80391,1.2051616E+09,7,0,3.62,7.95,198,20,4,2699
-1716.4128,149.36234,1.1909504E+09,9,2,1.74,4.06,143,15,3,1933
-1717.9009,149.26984,1.2175059E+09,9,2,3.45,8.47,357,35,7,3950
-1722.9027,151.81342,1.2413509E+09,11,4,6.15,9.05,149,15,3,2163
-1722.9027,153.16934,1.2779013E+09,12,1,4.53,10.34,453,45,9,6726
-1722.9027,155.06897,1.288546E+09,13,1,4.46,11.22,259,25,5,3007
-1750.1196,158.901,1.2897024E+09,10,1,3.49,7.48,148,15,3,2107
-1747.0579,160.30753,1.2758126E+09,7,1,3.15,6.9,194,20,4,2590
-1747.0579,159.37926,1.2623529E+09,8,1,2.03,5.27,301,30,6,3054
-1743.9344,161.14902,1.3434602E+09,9,2,3.97,9.6,216,20,4,2484
-1754.0325,164.81299,1.3646143E+09,9,1,3.58,7.71,146,15,3,1884
-1759.3226,164.4474,1.3743855E+09,11,3,2.64,6.92,150,15,3,1749
-1766.6031,169.98235,1.3874305E+09,12,0,5.3,9.09,245,25,5,3430
-1772.2812,171.75014,1.4028305E+09,13,3,3.33,8.6,148,15,3,2084
-1766.767,173.14218,1.4352893E+09,11,3,4.36,10.79,153,15,3,1600
-1753.3456,174.03334,1.4591306E+09,11,3,5.25,10.85,202,20,4,2077
-1753.3456,175.64531,1.485097E+09,13,2,5.11,11.68,148,15,3,1511
-1745.8175,180.66841,1.4760111E+09,14,2,5.31,10.97,150,15,3,1933
-1757.6409,185.25291,1.483055E+09,11,0,4.01,6.8,258,25,5,3679
-1746.4459,184.36688,1.5083256E+09,8,3,2.81,5.68,154,15,3,2265
-1740.6309,186.49152,1.5402821E+09,10,3,5,11.08,194,20,4,2658
-1739.7533,188.93025,1.5896236E+09,13,4,5.77,11.29,236,25,5,3505
-1739.1125,191.80977,1.6023404E+09,15,3,5.23,10.38,198,20,4,2324
-1731.8766,199.2159,1.6407931E+09,14,0,5.01,10.67,243,25,5,2875
-1741.4258,201.33856,1.66361E+09,16,3,4.36,11.22,202,20,4,2799
-1749.7839,206.89305,1.6767461E+09,10,0,2.77,6.53,241,25,5,2695
-1745.561,207.64983,1.7537603E+09,13,5,3.79,9.14,147,15,3,1812
-1745.4072,220.26413,1.7605983E+09,12,0,6.35,11.5,255,25,5,2938
-1755.4529,222.80399,1.7830527E+09,13,4,5.31,11.19,155,15,3,1761
-1749.6243,224.80295,1.7750971E+09,11,1,4.16,10.51,147,15,3,1578
-1748.9772,224.91335,1.7732724E+09,10,1,3.57,9.12,159,15,3,1783
-1748.9772,223.94284,1.7642963E+09,11,1,2.23,5.05,158,15,3,1874
-1744.0565,224.10217,1.8048023E+09,14,5,4.29,8.94,244,25,5,2855
-1740.8334,226.1777,1.8537324E+09,15,4,5.09,11.21,267,25,5,3666
-1749.3407,228.55804,1.9027544E+09,17,4,5.58,10.24,311,30,6,4117
-1748.9891,232.25496,1.9506056E+09,18,3,6.19,12.27,204,20,4,2753
-1744.9894,237.89998,2.0287978E+09,15,2,6.28,11.21,252,25,5,2657
-1738.9526,245.49965,2.0215616E+09,15,1,6.59,11.22,140,15,3,1586
-1722.1606,248.22853,2.0150208E+09,14,2,5.64,11.93,194,20,4,2381
-1699.3113,250.32335,2.006053E+09,12,1,5.95,10.04,203,20,4,2273
-1693.5482,248.91678,2.0089069E+09,14,3,4.98,9.36,158,15,3,2074
-1687.205,251.239,2.0736627E+09,13,2,5.65,11.51,242,25,5,3215
-1677.3074,257.74347,2.0757423E+09,9,0,2.92,7.43,156,15,3,1898
-1677.3865,257.37872,2.100677E+09,9,2,3.72,7.65,298,30,6,4199
-1671.2667,257.50323,2.082232E+09,7,1,3.51,6.86,156,15,3,2300
-1669.0519,253.4252,2.0498728E+09,7,0,3.05,6.75,311,30,6,3732
-1673.556,254.82892,2.0919881E+09,8,0,3.91,9.02,143,15,3,1862
-1681.0691,257.58774,2.1193033E+09,9,0,5.01,10.57,263,25,5,3230
-1681.0691,257.00537,2.153462E+09,11,2,2.87,7.02,293,30,6,3081
-1690.8904,259.66946,2.1474058E+09,10,1,3.12,6.95,138,15,3,1453
-1690.8904,259.9088,2.1665564E+09,12,2,3.08,8.25,150,15,3,1762
-1703.9595,262.5199,2.232067E+09,11,2,4.54,9.18,293,30,6,3607
-1705.7832,273.34192,2.268057E+09,10,0,5.3,10.15,334,35,7,4577
-1703.2996,274.5706,2.278065E+09,12,3,3.83,8.59,143,15,3,2117
-1717.0524,275.5867,2.302017E+09,11,1,4.18,7.72,150,15,3,1649
-1715.5454,277.22296,2.3008253E+09,10,1,3.69,8.17,194,20,4,2682
-1717.1594,278.56995,2.300396E+09,11,2,3.62,10.14,152,15,3,2063
-1717.7511,278.46796,2.2865682E+09,11,1,3.24,8.95,243,25,5,3071
-1722.5214,277.08417,2.3549379E+09,14,4,4.3,8.72,148,15,3,1944
-1723.8607,282.7199,2.398374E+09,15,4,6.18,10.58,197,20,4,2627
-1725.4747,286.68314,2.418435E+09,16,2,6.14,11.44,154,15,3,2055
-1737.037,292.10654,2.4011277E+09,12,0,4.45,9.79,143,15,3,1599
-1729.3943,291.157,2.3954898E+09,10,1,2,5.29,158,15,3,1619
-1729.9156,290.3994,2.4052626E+09,9,2,3.22,6.88,208,20,4,2810
-1724.6111,290.796,2.4034632E+09,8,2,2.6,6.5,153,15,3,1592
-1723.4032,291.96326,2.389844E+09,8,1,3.11,6.52,143,15,3,1571
-1724.5255,290.7129,2.4224328E+09,9,3,3.93,7.96,402,40,8,5170
-1724.5255,294.16437,2.4259246E+09,10,1,4.51,10.02,212,20,4,2858
-1724.5255,294.2741,2.409379E+09,12,2,3.95,9.6,153,15,3,1542
-1721.6923,292.89114,2.401978E+09,9,2,3.81,8.94,147,15,3,1973
-1732.0955,292.18396,2.3949806E+09,9,2,2.94,8.23,159,15,3,2345
-1729.5645,293.36755,2.410584E+09,8,0,1.65,2.5,297,30,6,4347
-1728.0717,291.84225,2.4298237E+09,11,4,1.04,3.76,154,15,3,1620
-1727.2518,295.8377,2.438134E+09,7,0,3.05,8.05,209,20,4,2921
-1724.6974,293.86545,2.4505196E+09,7,1,1.46,3.81,249,25,5,3734
-1718.011,296.40042,2.4658191E+09,6,1,2.72,6.14,354,35,7,3808
-1728.0948,298.09006,2.4868685E+09,6,1,3.3,7.42,252,25,5,3601
-1727.9309,299.00513,2.5035494E+09,7,2,4.24,9.86,204,20,4,2851
-1727.9309,300.83514,2.5103575E+09,8,1,3.44,8.07,209,20,4,2540
-1727.9309,300.8883,2.59664E+09,13,5,4.59,10.16,260,25,5,3707
-1744.1083,308.30865,2.596741E+09,14,3,5.51,10.68,146,15,3,1841
-1744.1083,311.26477,2.6383557E+09,16,2,6.31,10.36,199,20,4,2090
-1744.1083,314.39954,2.6412628E+09,17,1,6.1,9.32,150,15,3,2242
-1751.8292,317.93732,2.6627569E+09,15,1,6.12,10.96,197,20,4,2701
-1746.5862,319.35657,2.7096105E+09,18,6,6.19,11.48,198,20,4,2654
