Lateness,Assembly,Material,OpenOrders,NewOrders,TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
-1163,26.124107,125744030,13,1,3.9,9.66,153,15,3,1995
-1168,27.70651,156747380,11,2,3.92,10.3,214,20,4,3148
-1262.1111,28.95949,174314800,11,2,3.55,8.24,249,25,5,3364
-1280.5834,29.413542,185981230,10,2,3.69,9.17,155,15,3,1750
-1551.2667,38.375523,244135400,10,0,4.32,9.93,248,25,5,2814
-1632.4445,39.289906,274248400,8,1,3.55,8.08,352,35,7,4770
-1611.2727,41.385693,265087470,6,0,2.06,6.09,145,15,3,1700
-1611.2727,38.799088,268382780,8,2,0.47,1.25,156,15,3,1583
-1663.6086,42.384804,330026900,11,4,4.94,11,546,55,11,7804
-1650.4166,47.81435,388054370,12,2,6.15,12.1,148,15,3,1515
-1697.28,56.938152,454861220,13,2,6.81,12.1,250,25,5,3183
-1741.5714,68.4553,516068000,11,0,5.62,11.35,447,45,9,6124
-1703.862,68.24309,581595600,13,3,2.98,7.66,298,30,6,3214
-1616.2646,72.03759,737817860,14,6,6.33,11.98,260,25,5,3438
-1695.0286,80.131165,754926140,14,1,7,12.19,190,20,4,2552
-1695.0286,89.191086,754189060,16,2,5.88,11.78,204,20,4,2380
-1712.8649,92.54583,769036800,18,4,5.62,13.05,214,20,4,2760
-1717.4872,95.04498,862378750,20,4,6.35,11.98,160,15,3,1650
-1699.725,100.96853,865482050,21,2,6.21,11.71,194,20,4,2840
-1635.5682,104.03434,900274300,18,1,6,11.05,254,25,5,3365
-1588.9574,109.817154,909701300,17,2,5.21,10.78,153,15,3,2171
-1564.8679,111.995575,886060400,13,0,3.45,8.28,150,15,3,1693
-1571.7322,110.043625,869140700,11,1,2.2,6.45,242,25,5,2496
-1543.2759,107.23707,905822800,12,3,2.28,6.38,352,35,7,3577
-1701.238,109.94298,911840400,8,1,5.67,12.14,157,15,3,2202
-1728.5303,108.63604,871580400,6,0,1.44,3.38,153,15,3,1872
-1732.5146,104.997116,836415500,5,0,0.32,0.91,146,15,3,1662
-1730.0289,103.37115,835366600,6,2,0.66,2.25,150,15,3,2153
-1730.0289,103.13603,947513500,12,6,5.51,10.58,307,30,6,4572
-1752.0986,120.03818,1.0007005E+09,12,0,6.36,12.81,363,35,7,3662
-1739.8933,124.197464,964097300,9,0,0.19,0.34,196,20,4,2377
-1734.2598,124.58309,972510200,11,4,2.4,7.33,153,15,3,2197
-1784.3544,123.86701,972916100,9,0,3.67,8.99,197,20,4,2605
-1786.525,125.20672,1.020678E+09,12,4,4.12,11.1,149,15,3,2062
-1789.7927,129.42805,1.07156576E+09,13,3,5.02,11.97,214,20,4,2262
-1803.631,136.82458,1.0895489E+09,12,1,6.18,12.7,241,25,5,3050
-1827.2529,138.44987,1.142616E+09,13,4,5.04,11.96,146,15,3,1616
-1816.409,142.77579,1.1597427E+09,14,2,5.01,10.44,299,30,6,3899
-1804.2968,145.8252,1.1877009E+09,13,2,4.95,11.85,248,25,5,2706
-1797.9348,151.02924,1.2503222E+09,16,4,4.82,12.76,157,15,3,2103
-1786.7789,156.21071,1.309271E+09,17,4,6.38,12.36,298,30,6,3649
-1777.1327,162.35661,1.324767E+09,15,1,7.29,12.2,343,35,7,3967
-1778.0098,165.50793,1.3275572E+09,13,2,6.23,11.94,214,20,4,2958
-1778.0098,165.30635,1.3702947E+09,15,2,6.69,11.62,201,20,4,2275
-1750.4811,168.89288,1.392104E+09,13,2,5.91,12.34,354,35,7,4536
-1743.2523,172.09286,1.4435466E+09,13,1,5.78,12.29,148,15,3,1744
-1740.211,177.236,1.440059E+09,12,1,4.02,9.72,146,15,3,1914
-1749.0636,178.24567,1.4356655E+09,12,1,3.02,8.44,144,15,3,1694
-1749.2883,176.82034,1.4569962E+09,14,3,2.59,6.56,149,15,3,2009
-1749.7808,177.68307,1.4896116E+09,14,3,4.02,11.15,195,20,4,2838
-1760.6154,181.27534,1.5372681E+09,13,2,4.58,9.92,148,15,3,2098
-1763.3167,185.6052,1.5883561E+09,15,5,6.19,11.29,299,30,6,3021
-1767.876,190.19283,1.6535252E+09,17,3,7.2,11.59,141,15,3,1527
-1747.68,195.66609,1.6883539E+09,14,1,7.6,11.38,151,15,3,2171
-1751.2188,199.1822,1.7041394E+09,15,4,6.38,12.38,295,30,6,4230
-1742.3721,203.32576,1.7537574E+09,16,2,6.65,12.49,255,25,5,3086
-1728.5303,208.05952,1.7477454E+09,14,1,6.65,11.73,142,15,3,1599
-1715.1493,211.98955,1.7986413E+09,17,5,7.43,11.26,144,15,3,2119
-1704.6838,220.41019,1.853873E+09,18,3,6.63,12.3,144,15,3,1647
-1703.9708,224.06845,1.8499316E+09,22,5,6.58,11.2,309,30,6,3264
-1691.2253,229.03717,1.8563523E+09,19,0,6.84,12.59,249,25,5,3380
-1648.1224,231.05962,1.8697695E+09,16,2,5.69,12.04,342,35,7,4952
-1621.7987,231.17085,1.8831215E+09,10,1,5.14,10.95,203,20,4,2680
-1627.3741,235.65594,1.9192778E+09,12,3,4.23,10.12,304,30,6,3373
-1645.6241,239.56044,1.9396247E+09,11,1,5.23,10.21,186,20,4,2243
-1645.654,243.1565,1.9326092E+09,12,0,4.49,10.26,153,15,3,1729
-1648.3975,241.63971,1.9130335E+09,11,1,2.79,6.56,145,15,3,1557
-1650.9757,239.63786,1.9496155E+09,12,5,4.08,9.78,241,25,5,2614
-1646.7306,241.12883,1.9624275E+09,12,2,6.97,11.59,298,30,6,3473
-1646.119,243.14949,1.9913065E+09,12,1,6.23,11.45,314,30,6,3610
